event_name,event_count
my_account_click,930978
menu_click,463847
gameplay_initiated,455877
page_view,386616
sitespect_watts,353265
user_engagement,345094
scroll,160474
deposit_success,109212
deposit_initiated,101693
deposit_overview,100959
login_form_start,81758
deposit_window_opened,75458
login,69385
dynamic_content,66392
search,49501
game_window_actions,49260
session_start,41812
form_start,31236
search_window_initiated,28158
login_form_submit,26111
deposit_failed,25551
withdraw,25333
login_success,24047
deposit_provider_changed,14846
first_visit,10313
login_submit,8810
logout_success,8187
login_error,6092
search_window_closed,2344
pending_withdrawal,2010
logout,1894
FTD,1086
sb_bet_placed,961
button_click,532
forgot_password,519
link_click,137
SBVirtualPageView,97
click,29
registration_form_start,6
SBLiveEventVisit,5
SBQuickLinksScroller,4
bonus_click,2
SBSportsbookBannerClick,1
registration,1
